timestamp,open,high,low,close,volume,open_pct_change,high_pct_change,low_pct_change,close_pct_change,volume_pct_change
2019-01-01,3709.5,3814.3,3664.4,3809.4,469107,,,,,
2019-01-02,3809.7,3894.8,3768.1,3873.8,554471,2.7011726647796053,2.110478986970077,2.8299312302150437,1.6905549430356492,18.197127734184313
2019-01-03,3874.1,3875.8,3753.0,3780.1,450319,1.690421817990928,-0.4878299270822617,-0.40073246463734336,-2.4188135680726974,-18.784030183724663
2019-01-04,3780.5,3823.9,3720.0,3802.7,488698,-2.4160450169071535,-1.339078383817538,-0.8792965627497984,0.5978677812756183,8.522625072448653
2019-01-05,3802.8,3846.7,3769.0,3785.4,468449,0.5898690649384974,0.5962499019325662,1.3172043010752699,-0.45493991111578147,-4.143458741390393
2019-01-06,3785.7,4034.1,3758.5,4004.1,529893,-0.44966866519408066,4.871708217433124,-0.2785884850092901,5.777460770328102,13.116475859698706
2019-01-07,4004.3,4028.0,3945.5,3985.9,500878,5.774361412684592,-0.1512109268486106,4.975389117999196,-0.45453410254489013,-5.475633760023246
2019-01-08,3985.8,4070.5,3943.1,3971.0,514081,-0.4620033464026174,1.0551142005958303,-0.06082879229502014,-0.3738177074186555,2.635971234512202
2019-01-09,3971.0,4014.2,3957.5,3978.0,473418,-0.371318179537361,-1.3831224665274533,0.36519489741573263,0.176278015613196,-7.909843001394723
2019-01-10,3978.9,4007.7,3562.1,3603.7,697305,0.1989423319063155,-0.16192516566190251,-9.991156032849025,-9.409250879839115,47.29161121883831
2019-01-11,3603.3,3655.7,3563.1,3616.5,551644,-9.439794918193467,-8.783092546847316,0.028073327531519254,0.35519049865415653,-20.889137464954356
2019-01-12,3616.6,3633.9,3561.3,3597.2,435062,0.36910609718867615,-0.596329020433839,-0.05051780752715063,-0.5336651458592634,-21.133557149175918
2019-01-13,3597.3,3617.6,3473.2,3490.2,452793,-0.5336503898689338,-0.44855389526404776,-2.473815741442742,-2.974535750027796,4.0755110765821945
2019-01-14,3490.4,3672.0,3490.4,3638.1,539926,-2.9716731993439494,1.5037593984962516,0.49522054589428155,4.23757950833763,19.24345120176327
2019-01-15,3637.5,3660.8,3545.7,3571.3,544852,4.214416685766675,-0.3050108932461826,1.5843456337382378,-1.83612325114757,0.9123472475857763
2019-01-16,3570.6,3644.1,3561.4,3588.0,487344,-1.839175257731962,-0.4561844405594484,0.4427898581380374,0.4676168342060194,-10.554792861180651
2019-01-17,3588.1,3636.7,3554.8,3626.4,525103,0.49011370637987994,-0.20306797288768275,-0.18532037962598613,1.0702341137123872,7.747915230309599
2019-01-18,3626.3,3627.9,3575.7,3605.6,488157,1.06463030573285,-0.2419776170704102,0.5879374367052881,-0.5735715861460489,-7.035952946374335
2019-01-19,3605.8,3715.2,3604.1,3677.8,537057,-0.5653145079006161,2.4063507814438,0.7942500769080096,2.0024406478810874,10.017269034347564
2019-01-20,3676.2,3699.1,3503.9,3542.3,563313,1.9524100061012684,-0.43335486649439536,-2.780167031991343,-3.684267768774807,4.88886654489189
2019-01-21,3542.7,3561.4,3505.4,3536.7,394174,-3.631467275991518,-3.7225271011867678,0.04280944090870875,-0.15808937695848124,-30.0257583261881
2019-01-22,3536.9,3607.9,3465.2,3580.1,447702,-0.16371693905777862,1.3056663110012856,-1.1468020767958054,1.227132637769679,13.579789636049044
2019-01-23,3580.1,3608.3,3532.8,3561.5,445873,1.2214085781333983,0.011086781784430677,1.9508253491862027,-0.5195385603754099,-0.40853067442182533
2019-01-24,3561.4,3587.0,3539.7,3574.3,428601,-0.5223317784419423,-0.5903056841171761,0.1953125,0.359399129580229,-3.8737488029102485
2019-01-25,3574.3,3582.6,3542.2,3572.0,448885,0.3622171056326229,-0.12266517981600611,0.07062745430403972,-0.06434826399575044,4.732606783465276
2019-01-26,3572.0,3652.5,3556.1,3570.9,432549,-0.06434826399575044,1.9510969686819646,0.3924114956806557,-0.0307950727883477,-3.6392394488566127
2019-01-27,3570.9,3583.2,3509.2,3555.6,464016,-0.0307950727883477,-1.8973305954825492,-1.3188605494783623,-0.42846341258506726,7.2747827413772725
2019-01-28,3555.8,3561.2,3395.7,3442.8,620849,-0.4228625836623756,-0.6139763340031301,-3.234355408640144,-3.1724603442456867,33.79905003275749
2019-01-29,3442.8,3450.1,3368.2,3414.8,585460,-3.1779065189268207,-3.119734920813211,-0.8098477486232603,-0.8132915069129831,-5.700097769344881
2019-01-30,3414.6,3479.0,3394.2,3460.0,600249,-0.8191007319623633,0.8376568795107397,0.7719256576212752,1.323649994143139,2.526047893963712
2019-01-31,3460.0,3484.7,3427.0,3437.2,477074,1.3295847244186865,0.16384018396089495,0.9663543692180809,-0.6589595375722568,-20.520650596669054
2019-02-01,3437.7,3485.7,3415.3,3467.9,481576,-0.6445086705202385,0.028696874910316694,-0.341406477969064,0.8931688583730946,0.9436691163215771
2019-02-02,3467.9,3514.5,3447.8,3502.5,443598,0.8784943421473734,0.8262328943971164,0.9516001522560158,0.9977219643011681,-7.886190341711385
2019-02-03,3502.3,3507.8,3431.3,3459.1,451659,0.9919547853167732,-0.1906387821880684,-0.4785660421138149,-1.2391149179157734,1.8171858304140143
2019-02-04,3459.0,3479.7,3437.1,3462.8,503923,-1.2363304114439089,-0.8010718969154507,0.16903214525105792,0.10696423925298237,11.571561731306135
2019-02-05,3463.0,3485.9,3450.3,3468.4,460953,0.1156403584851029,0.1781762795643349,0.38404468883652676,0.16171884024489547,-8.527096401632795
2019-02-06,3468.5,3478.0,3383.9,3404.3,514208,0.15882183078255174,-0.2266272698585703,-1.9244703359128201,-1.8481144043362874,11.55323861651838
2019-02-07,3404.9,3421.8,3390.3,3397.7,471356,-1.8336456681562585,-1.6158711903392686,0.18913088448240245,-0.19387245542403786,-8.333592631775467
2019-02-08,3397.3,3721.1,3382.5,3661.7,699228,-0.2232077300361235,8.746858378631117,-0.2300681355632328,7.769962033140065,48.343926883289924
